age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
19,10.32,10.19,10.19,0.0,1.0,1.0,14702.0,1.0,1140.91766,1,9
20,10.73,10.24,10.24,0.0,2.0,2.0,22081.0,0.0,1140.91766,4,5
21,10.26,10.20571429,10.02,0.005687912,2.071428571,1.0,18786.21429,1.0,1140.91766,3,5
22,10.13954545,10.13818182,9.97,0.00965368,2.045454545,1.0,12187.27273,0.863636364,1140.91766,2,5
23,10.15473684,10.09052632,9.89,0.015516374,2.105263158,1.0,9683.789474,0.894736842,1140.91766,1,5
24,10.04375,10.018125,9.92,0.006402917,2.1875,1.0,3652.875,1.0,1140.91766,5,4
25,10.0835,10.062,9.93,0.006448421,2.45,1.0,5540.85,0.95,1140.91766,4,4
26,10.061875,10.03625,9.92,0.006398333,2.5625,1.0,4210.8125,1.0,1140.91766,3,4
27,10.06285714,10.04142857,9.91,0.010680952,1.0,1.0,5197.285714,1.0,1140.91766,2,4
28,10.02823529,10.02529412,9.82,0.013688971,2.294117647,1.0,4947.823529,0.705882353,1140.91766,1,4
20,10.66,10.22,10.22,0.0,1.0,1.0,18909.0,0.0,1147.236581,4,9
21,10.45666667,10.26,10.19,0.00176,4.833333333,2.0,26239.0,0.5,1147.236581,3,9
23,10.48,10.23,10.19,0.0032,4.0,2.0,21077.0,0.5,1147.236581,1,9
19,10.89,10.3,10.3,0.0,3.0,3.0,33876.0,0.0,1140.106017,2,9
20,10.38666667,10.25166667,10.18,0.001816667,2.5,1.0,24747.16667,0.833333333,1140.106017,1,9
21,10.49,10.3,10.3,0.0,3.0,3.0,33876.0,1.0,1140.106017,4,9
22,10.38,10.235,10.2,0.00245,2.0,2.0,21739.5,0.5,1140.106017,3,9
23,10.31666667,10.19555556,10.06,0.004502778,2.444444444,1.0,16989.22222,0.777777778,1140.106017,2,9
24,10.33222222,10.21777778,10.15,0.002244444,3.444444444,1.0,19425.11111,0.777777778,1140.106017,1,9
