Competitor,Rank,Mark,WIND,DOB,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
Akani SIMBINE,439,9.9,0.9,21-Sep-93,RSA,4sf3,"National Stadium, Tokyo (JPN)",1-Aug-21,1241,9.99,30,27,4,2021
Akani SIMBINE,519,9.91,1.7,21-Sep-93,RSA,1h3,"Bestmed Tuks Stadium, Pretoria (RSA)",14-Mar-20,1238,10.08,30,26,1,2020
Akani SIMBINE,4606,10.07,0.1,21-Sep-93,RSA,1h1,"Alexander Stadium, Birmingham (GBR)",18-Aug-18,1182,10.08,30,24,1,2018
Akani SIMBINE,9471,10.14,-1.3,21-Sep-93,RSA,1h8,"Est¨¢dio Ol¨ªmpico, Rio de Janeiro (BRA)",13-Aug-16,1166,10.01,30,22,1,2016
Akani SIMBINE,1101,9.96,0.3,21-Sep-93,RSA,1,"Stadio Olimpico, Roma (ITA)",17-Sep-20,1220,9.99,30,26,1,2020
Akani SIMBINE,27452,10.27,-1.4,21-Sep-93,RSA,1sf1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",18-Apr-24,1123,10.13,30,30,1,2024
Akani SIMBINE,8587,10.13,-0.1,21-Sep-93,RSA,3,"Stadio Comunale, Bellinzona (SUI)",4-Sep-23,1162,10.12,30,29,3,2023
Akani SIMBINE,22081,10.24,-6.3,21-Sep-93,RSA,1sf1,"Bestmed Tuks Stadium, Pretoria (RSA)",27-Mar-21,1162,9.61,30,27,1,2021
Akani SIMBINE,27452,10.27,2,21-Sep-93,RSA,1h2,Durban (RSA),22-Jun-16,1115,10.47,30,22,1,2016
Akani SIMBINE,31544,10.29,-0.3,21-Sep-93,RSA,2f3,Velenje (SLO),1-Jul-14,1109,10.26,30,20,2,2014
Akani SIMBINE,8587,10.13,-0.9,21-Sep-93,RSA,2,"Alexander Stadium, Birmingham (GBR)",3-Aug-22,1167,10.04,30,28,2,2022
Akani SIMBINE,8587,10.13,NWI,21-Sep-93,RSA,1h1,"Bestmed Tuks Stadium, Pretoria (RSA)",27-Mar-21,1132,#VALUE!,30,27,1,2021
Akani SIMBINE,7017,10.11,1.8,21-Sep-93,RSA,1sf3,Pretoria (RSA),11-Apr-14,1169,10.29,30,20,1,2014
Akani SIMBINE,22081,10.24,4.9,21-Sep-93,RSA,2,Durban (RSA),27-Apr-13,1096,10.73,30,19,2,2013
