Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
2004,24,10.23470588,10.14058824,10.01,0.006493382,3.411764706,1,11513,0.764705882,Leonard SCOTT,1144.561396,1,9,0
2005,25,10.12727273,10.11409091,9.94,0.007606277,2.727272727,1,9345.272727,0.909090909,Leonard SCOTT,1144.561396,4,9,0
2006,26,10.113125,10.09625,9.91,0.008571667,2.375,1,8160.5,1,Leonard SCOTT,1144.561396,3,9,0
2007,27,10.19,10.16285714,10.09,0.00392381,4.857142857,1,12899.42857,0.857142857,Leonard SCOTT,1144.561396,2,9,0
2003,22,10.61,10.23,10.23,0,3,3,20480,0,Lerone CLARKE,1151.202683,2,9,0
2004,23,10.515,10.22,10.12,0.00724,1.666666667,1,21468,0.166666667,Lerone CLARKE,1151.202683,1,9,0
2005,24,10.435,10.27,10.24,0.000666667,4.5,1,27731.75,0.75,Lerone CLARKE,1151.202683,4,9,0
2006,25,10.395,10.29,10.28,0.0002,1.5,1,31628,1,Lerone CLARKE,1151.202683,3,9,0
2007,26,10.28,10.15,10.15,0,3,3,10382,1,Lerone CLARKE,1151.202683,2,9,0
2008,27,10.37,10.3,10.3,0,3,3,33876,1,Lerone CLARKE,1151.202683,1,9,0
2009,28,10.20111111,10.18333333,9.99,0.006141176,2.055555556,1,15977.05556,0.888888889,Lerone CLARKE,1151.202683,4,9,0
2010,29,10.25086957,10.17217391,9.98,0.00635415,2.913043478,1,14644.08696,0.869565217,Lerone CLARKE,1151.202683,3,9,0
2011,30,10.17263158,10.12526316,9.9,0.010226316,1.947368421,1,10984.84211,0.894736842,Lerone CLARKE,1151.202683,2,9,0
2012,31,10.18076923,10.12230769,9.99,0.005652564,3.538461538,1,9540.230769,1,Lerone CLARKE,1151.202683,1,9,0
2013,32,10.39,10.145,10.13,0.00045,2,2,9986.5,0,Lerone CLARKE,1151.202683,4,9,0
1988,21,10.4575,10.115,10.09,0.001366667,3,2,7719,0,Leroy BURRELL,1144.561396,1,9,0
1989,22,10.20666667,10.12,9.94,0.007428571,2.4,1,9623.666667,0.866666667,Leroy BURRELL,1144.561396,4,5,1
1990,23,10.169,10.07,9.94,0.010031579,1.157894737,1,6892.85,0.8,Leroy BURRELL,1144.561396,3,5,1
1991,24,10.135,10.06375,9.88,0.011438333,1.25,1,6583.9375,0.9375,Leroy BURRELL,1144.561396,2,5,1
1992,25,10.13923077,10.11153846,9.96,0.009380769,2.230769231,1,9545.538462,0.769230769,Leroy BURRELL,1144.561396,1,5,1
1993,26,10.208,10.108,9.85,0.018862222,1.5,1,10995.1,0.8,Leroy BURRELL,1144.561396,4,9,0
1994,27,10.133,10.084,9.85,0.022337778,1.1,1,9969.7,0.7,Leroy BURRELL,1144.561396,3,9,0
1995,28,10.31666667,10.14333333,10.09,0.008533333,2.666666667,2,11738,0.333333333,Leroy BURRELL,1144.561396,2,9,0
1996,29,10.16111111,10.11333333,10.01,0.006,3.888888889,1,8900.777778,1,Leroy BURRELL,1144.561396,1,9,0
1997,30,10.20866667,10.15666667,10.04,0.006352381,3.538461538,1,13057.06667,0.866666667,Leroy BURRELL,1144.561396,4,9,0
2005,22,10.402,10.268,10.19,0.00237,2.8,1,28020,1,Leroy DIXON,1144.561396,4,9,0
2006,23,10.45,10.245,10.24,5.00E-05,3,2,22925.5,0.5,Leroy DIXON,1144.561396,3,9,0
2007,24,10.2375,10.2025,10.07,0.00542,3.5625,1,18372.8125,0.9375,Leroy DIXON,1144.561396,2,9,0
2008,25,10.28,10.165,9.99,0.010005556,4.4,1,14878.4,0.9,Leroy DIXON,1144.561396,1,9,0
2009,26,10.26636364,10.11272727,10,0.010241818,2.636363636,1,10040.09091,0.636363636,Leroy DIXON,1144.561396,4,9,0
2010,27,10.22125,10.22875,10.13,0.0022125,2.125,1,21023.875,1,Leroy DIXON,1144.561396,3,9,0
2011,28,10.276,10.208,10.17,0.00242,2.4,1,17976.6,1,Leroy DIXON,1144.561396,2,9,0
2012,29,10.52,10.28,10.28,0,7,7,29380,0,Leroy DIXON,1144.561396,1,9,0
2013,30,10.34,10.27,10.27,0,1,1,27452,1,Leroy DIXON,1144.561396,4,9,0
2014,31,10.57,10.165,10.16,5.00E-05,1.5,1,11916,0,Leroy DIXON,1144.561396,3,9,0
2021,18,10.268,10.208,10.11,0.00407,1,1,18417.8,1,Letsile TEBOGO,1151.195122,1,9,0
2013,18,10.29,10.28,10.28,0,3,3,29380,1,Levi Asher CADOGAN,1138.35625,4,9,0
2014,19,10.4475,10.265,10.24,0.0007,1.5,1,26794.75,0.75,Levi Asher CADOGAN,1138.35625,3,9,0
2015,20,10.29583333,10.16166667,10.01,0.005778788,3.5,1,13313.16667,0.75,Levi Asher CADOGAN,1138.35625,2,9,0
2016,21,10.33333333,10.23333333,10.2,0.001733333,3.333333333,1,21438.66667,0.666666667,Levi Asher CADOGAN,1138.35625,1,9,0
2017,22,10.29666667,10.24333333,10.22,0.000633333,1.666666667,1,22814,1,Levi Asher CADOGAN,1138.35625,5,9,0
1996,19,10.5,10.25,10.25,0,6,6,23770,0,Lindel FRATER,1151.202683,1,9,0
1998,21,10.4325,10.22,10.12,0.004733333,1.666666667,1,20316.5,0.5,Lindel FRATER,1151.202683,3,9,0
1999,22,10.435,10.205,10.2,5.00E-05,1,1,16723.5,0,Lindel FRATER,1151.202683,2,9,0
2000,23,10.3225,10.17166667,10.07,0.005251515,2.333333333,1,14351,0.75,Lindel FRATER,1151.202683,1,9,0
2001,24,10.33888889,10.20222222,10.11,0.003094444,2.111111111,1,17465.11111,0.555555556,Lindel FRATER,1151.202683,4,9,0
2002,25,10.55,10.22,10.22,0,2,2,18909,0,Lindel FRATER,1151.202683,3,9,0
2003,26,10.475,10.1825,10.1,0.003091667,2,1,14677.5,0.5,Lindel FRATER,1151.202683,2,9,0
1986,26,10.28363636,10.19909091,10.04,0.005229091,1.363636364,1,17716.45455,0.909090909,Linford CHRISTIE,1137.753126,3,2,1
1987,27,10.23181818,10.18818182,10.03,0.007536364,1.818181818,1,16975.63636,0.909090909,Linford CHRISTIE,1137.753126,2,2,1
1988,28,10.18833333,10.14666667,9.97,0.005424242,1.583333333,1,11511.08333,1,Linford CHRISTIE,1137.753126,1,2,1
1989,29,10.24555556,10.16666667,10.08,0.00285,1.777777778,1,12957.66667,0.888888889,Linford CHRISTIE,1137.753126,4,1,1
1990,30,10.259375,10.1325,9.93,0.011993333,1.875,1,12000.875,0.6875,Linford CHRISTIE,1137.753126,3,1,1
1991,31,10.22076923,10.11076923,9.9,0.014124359,2,1,10385,0.846153846,Linford CHRISTIE,1137.753126,2,1,1
1992,32,10.14125,10.11625,9.96,0.006291667,1.3125,1,9053,0.9375,Linford CHRISTIE,1137.753126,1,1,1
1993,33,10.18444444,10.095,9.87,0.012426471,1.222222222,1,9127.5,0.888888889,Linford CHRISTIE,1137.753126,4,9,0
1994,34,10.1326087,10.06913043,9.91,0.007835573,1.318181818,1,6317.434783,0.913043478,Linford CHRISTIE,1137.753126,3,9,0
1995,35,10.1475,10.1005,9.97,0.005594474,1.85,1,7840.35,0.9,Linford CHRISTIE,1137.753126,2,9,0
1996,36,10.16272727,10.13590909,10,0.009177706,2.047619048,1,11936.36364,0.909090909,Linford CHRISTIE,1137.753126,1,9,0
1997,37,10.264,10.17666667,10.04,0.006609524,1.714285714,1,15457.53333,0.8,Linford CHRISTIE,1137.753126,4,9,0
1998,22,10.41,10.2,10.2,0,1,1,16027,0,Llewellyn BREDWOOD,1151.202683,3,9,0
1999,23,10.39,10.3,10.3,0,1,1,33876,1,Llewellyn BREDWOOD,1151.202683,2,9,0
2000,24,10.31222222,10.16,10.07,0.004925,2.5,1,12938.66667,0.666666667,Llewellyn BREDWOOD,1151.202683,1,9,0
2001,25,10.24818182,10.17636364,10.13,0.001085455,2.090909091,1,13505.09091,0.727272727,Llewellyn BREDWOOD,1151.202683,4,9,0
2021,21,10.3225,10.2175,10.13,0.005691667,2,1,20277,0.75,Lorenzo PATTA,1129.9002,1,9,0
2021,21,10.28285714,10.20571429,9.98,0.010628571,1.285714286,1,19880.14286,0.857142857,Lucas ANSAH-PEPRAH,1124.962329,1,9,0
2012,27,10.362,10.208,10.16,0.00207,1,1,17843.8,0.6,Lucas JAKUBCZYK,1124.962329,1,9,0
2013,28,10.25,10.2575,10.21,0.001158333,1.75,1,25501.5,1,Lucas JAKUBCZYK,1124.962329,4,9,0
2014,29,10.25818182,10.18,10.01,0.00724,2.454545455,1,15852.09091,0.727272727,Lucas JAKUBCZYK,1124.962329,3,9,0
2015,30,10.405,10.12,10.09,0.0018,3.5,2,8052,0,Lucas JAKUBCZYK,1124.962329,2,9,0
2016,31,10.32666667,10.235,10.16,0.00363,3,1,22534.83333,1,Lucas JAKUBCZYK,1124.962329,1,9,0
2018,33,10.3675,10.265,10.24,0.000566667,1.5,1,26693.75,0.75,Lucas JAKUBCZYK,1124.962329,4,9,0
1996,27,10.325,10.285,10.27,0.00045,2,1,30664,1,Luis Alberto P¨¦REZ-RIONDA,1131.117647,1,9,0
1997,28,10.32666667,10.23666667,10.18,0.002633333,1.666666667,1,22225,1,Luis Alberto P¨¦REZ-RIONDA,1131.117647,4,9,0
1998,29,10.344,10.284,10.25,0.00043,1.75,1,30489.2,0.8,Luis Alberto P¨¦REZ-RIONDA,1131.117647,3,9,0
1999,30,10.21,10.19,10.11,0.0128,7,7,17234.5,1,Luis Alberto P¨¦REZ-RIONDA,1131.117647,2,9,0
2000,31,10.395,10.19,10.13,0.0072,1.5,1,16178.5,0.5,Luis Alberto P¨¦REZ-RIONDA,1131.117647,1,9,0
2001,32,10.40666667,10.27,10.22,0.0019,2,1,28109.66667,0.666666667,Luis Alberto P¨¦REZ-RIONDA,1131.117647,4,9,0
2013,23,10.48,10.24,10.24,0,1,1,22081,0,Lykourgos-Stefanos TSAKONAS,1123.907692,4,9,0
2014,24,10.54,10.22,10.22,0,2,2,18909,0,Lykourgos-Stefanos TSAKONAS,1123.907692,3,9,0
2015,25,10.26,10.27,10.27,0,1,1,27452,1,Lykourgos-Stefanos TSAKONAS,1123.907692,2,9,0
2016,26,10.36,10.24,10.23,0.0002,1,1,22125,1,Lykourgos-Stefanos TSAKONAS,1123.907692,1,9,0
2017,27,10.24666667,10.15666667,10.13,0.000633333,1.333333333,1,11166,0.666666667,Lykourgos-Stefanos TSAKONAS,1123.907692,5,9,0
2018,28,10.34,10.18,10.18,0,3,3,13525,1,Lykourgos-Stefanos TSAKONAS,1123.907692,4,9,0
2021,21,10.43,10.3,10.3,0,2,2,33876,1,Malachi MURRAY,1140.106017,1,9,0
1993,20,10.22,10.3,10.3,0,1,1,33876,1,Marc BLUME,1124.962329,4,9,0
1994,21,10.37,10.22,10.2,0.0008,3,3,19054,1,Marc BLUME,1124.962329,3,9,0
1995,22,10.32,10.29,10.29,0,1,1,31544,1,Marc BLUME,1124.962329,2,9,0
1996,23,10.265,10.22125,10.13,0.003041071,1.875,1,20208.25,1,Marc BLUME,1124.962329,1,9,0
1997,24,10.34,10.3,10.3,0,5,5,33876,1,Marc BLUME,1124.962329,4,9,0
1998,25,10.28,10.3,10.3,0,7,7,33876,1,Marc BLUME,1124.962329,3,9,0
1999,26,10.48,10.28,10.28,0,2,2,29380,1,Marc BLUME,1124.962329,2,9,0
2000,27,10.3475,10.265,10.19,0.002566667,1.5,1,27375.5,0.75,Marc BLUME,1124.962329,1,9,0
2001,28,10.41,10.29,10.29,0,3,3,31544,1,Marc BLUME,1124.962329,4,9,0
2002,29,10.3425,10.2275,10.12,0.005758333,1.25,1,21805,0.75,Marc BLUME,1124.962329,3,9,0
2003,30,10.39666667,10.27,10.24,0.0007,1.333333333,1,27668.33333,0.666666667,Marc BLUME,1124.962329,2,9,0
2005,32,10.32,10.29,10.29,0,2,2,31544,1,Marc BLUME,1124.962329,4,9,0
2001,18,10.35,10.28,10.28,0,1,1,29380,1,Marc BURNS,1147.236581,4,9,0
2002,19,10.235,10.21,10.18,0.001466667,1.5,1,17887.25,1,Marc BURNS,1147.236581,3,9,0
2003,20,10.4725,10.2725,10.24,0.000491667,3.25,2,28096.25,0.5,Marc BURNS,1147.236581,2,9,0
2004,21,10.315,10.1475,9.99,0.009964286,1.875,1,12855.375,0.625,Marc BURNS,1147.236581,1,9,0
2005,22,10.18842105,10.13473684,9.96,0.006937427,2.789473684,1,10967.73684,0.947368421,Marc BURNS,1147.236581,4,7,1
2006,23,10.21666667,10.16333333,10.02,0.004541176,3.444444444,1,13176.05556,0.888888889,Marc BURNS,1147.236581,3,7,1
2007,24,10.245,10.20571429,10.06,0.003087912,4.142857143,1,17925,0.928571429,Marc BURNS,1147.236581,2,7,1
2008,25,10.14823529,10.10647059,9.97,0.008424265,2.941176471,1,8965.588235,0.941176471,Marc BURNS,1147.236581,1,7,1
2009,26,10.18733333,10.12466667,10,0.007126667,4.066666667,1,10105.73333,1,Marc BURNS,1147.236581,4,9,0
2010,27,10.285,10.18,10.11,0.0098,3.5,3,15393.5,1,Marc BURNS,1147.236581,3,9,0
2011,28,10.375,10.21,10.09,0.009,3.5,1,20143.75,0.75,Marc BURNS,1147.236581,2,9,0
2012,29,10.252,10.153,10,0.009023333,2.6,1,13358.6,0.9,Marc BURNS,1147.236581,1,9,0
2014,31,10.51,10.255,10.21,0.00405,2.5,1,25648,0.5,Marc BURNS,1147.236581,3,9,0
2015,32,10.355,10.19,10.17,0.0008,1,1,14933,0.5,Marc BURNS,1147.236581,2,9,0
2021,19,10.476,10.208,10.12,0.00547,3.8,2,18922,0.2,Marcellus MOORE,1144.561396,1,9,0
1998,21,10.38666667,10.29333333,10.29,3.33E-05,2.333333333,1,32321.33333,0.666666667,Marcin NOWAK,1120.043478,3,9,0
1999,22,10.31142857,10.27,10.23,0.000566667,2.666666667,1,27693.14286,0.857142857,Marcin NOWAK,1120.043478,2,9,0
2000,23,10.33857143,10.24714286,10.21,0.000690476,1.2,1,23536.42857,0.857142857,Marcin NOWAK,1120.043478,1,9,0
2003,26,10.555,10.27,10.25,0.0008,3,1,27657,0,Marcin NOWAK,1120.043478,2,9,0
2007,30,10.87,10.3,10.3,0,2,2,33876,0,Marcin NOWAK,1120.043478,2,9,0
1999,21,10.18333333,10.18333333,10.1,0.005833333,1,1,15383.66667,1,Marcus BRUNSON,1144.561396,2,9,0
2001,23,10.24785714,10.19285714,10.06,0.004821978,1.846153846,1,16818.92857,0.857142857,Marcus BRUNSON,1144.561396,4,9,0
2002,24,10.374,10.228,10.16,0.00267,3.2,2,21072.2,0.8,Marcus BRUNSON,1144.561396,3,9,0
2003,25,10.262,10.208,10.07,0.006217778,1.4,1,19308.3,1,Marcus BRUNSON,1144.561396,2,9,0
2004,26,10.203,10.138,9.95,0.013795556,1.9,1,12875.9,0.8,Marcus BRUNSON,1144.561396,1,9,0
2006,28,10.10333333,10.08066667,9.99,0.005606667,2.6,1,6572.8,1,Marcus BRUNSON,1144.561396,3,9,0
2007,29,10.37,10.26,10.26,0,1,1,25590,1,Marcus BRUNSON,1144.561396,2,9,0
2008,30,10.325,10.27,10.26,0.0002,3.5,3,27485,1,Marcus BRUNSON,1144.561396,1,9,0
2009,31,10.37454545,10.22818182,10.06,0.005256364,3.181818182,1,22017.81818,0.636363636,Marcus BRUNSON,1144.561396,4,9,0
2009,19,10.31,10.12625,10.02,0.007683929,1.25,1,10367.5,0.5,Marcus ROWLAND,1144.561396,4,9,0
2010,20,10.31142857,10.15571429,10.03,0.007495238,1.285714286,1,12965.42857,0.571428571,Marcus ROWLAND,1144.561396,3,9,0
2012,22,10.25571429,10.20571429,10.09,0.004961905,3,1,18535.42857,0.857142857,Marcus ROWLAND,1144.561396,1,9,0
2013,23,10.57,10.265,10.23,0.00245,3.5,1,27178,0.5,Marcus ROWLAND,1144.561396,4,9,0
2014,24,10.38,10.26,10.26,0,2,2,25590,1,Marcus ROWLAND,1144.561396,3,9,0
2001,20,10.56,10.265,10.25,0.00045,1,1,26575,0,Mardy SCALES,1144.561396,4,9,0
2003,22,10.405,10.21625,10.02,0.006741071,1.25,1,20423.125,0.625,Mardy SCALES,1144.561396,2,9,0
2004,23,10.28769231,10.16076923,10.02,0.006541026,2.384615385,1,13496.15385,0.769230769,Mardy SCALES,1144.561396,1,9,0
2005,24,10.32666667,10.17666667,10.1,0.007433333,2,2,15064,1,Mardy SCALES,1144.561396,4,9,0
2006,25,10.31,10.225,10.15,0.002966667,3,1,20580.75,0.75,Mardy SCALES,1144.561396,3,9,0
2007,26,10.43,10.24,10.24,0,7,7,22081,1,Mardy SCALES,1144.561396,2,9,0
2008,27,10.25285714,10.19285714,10.11,0.003590476,4.285714286,1,16338.42857,1,Mardy SCALES,1144.561396,1,9,0
1978,22,10.27,10.27,10.25,0.0008,1,1,27657,1,Marian WORONIN,1120.043478,3,7,1
1979,23,10.30888889,10.25666667,10.16,0.00205,1.666666667,1,25780.33333,1,Marian WORONIN,1120.043478,2,7,1
1980,24,10.3325,10.2225,10.19,0.001158333,1.25,1,19620.75,1,Marian WORONIN,1120.043478,1,7,1
1981,25,10.4,10.262,10.15,0.00397,1,1,27345.2,0.8,Marian WORONIN,1120.043478,4,9,0
1982,26,10.29666667,10.23333333,10.2,0.001733333,2,1,21438.66667,1,Marian WORONIN,1120.043478,3,9,0
1983,27,10.37666667,10.19666667,10.1,0.007233333,1,1,17474.66667,0.666666667,Marian WORONIN,1120.043478,2,9,0
1984,28,10.1825,10.135,10,0.008566667,1,1,10766.25,1,Marian WORONIN,1120.043478,1,9,0
1985,29,10.225,10.19,10.14,0.0014,1.25,1,15170,1,Marian WORONIN,1120.043478,4,9,0
1986,30,10.20666667,10.17,10.14,0.0009,1.333333333,1,12648,1,Marian WORONIN,1120.043478,3,9,0
1987,31,10.24,10.2,10.2,0,1,1,16027,1,Marian WORONIN,1120.043478,2,9,0
1988,32,10.16,10.21,10.21,0,1,1,17420,1,Marian WORONIN,1120.043478,1,9,0
2015,18,10.36,10.21,10.21,0,1,1,17420,1,Mario BURKE,1138.35625,2,9,0
2016,19,10.336,10.274,10.25,0.00043,2.4,2,28446.4,1,Mario BURKE,1138.35625,1,9,0
2017,20,10.40857143,10.19428571,10.14,0.001561905,2.714285714,1,15854.85714,0.571428571,Mario BURKE,1138.35625,5,9,0
2018,21,10.3475,10.21166667,10.03,0.007378788,2.25,1,20233.58333,0.75,Mario BURKE,1138.35625,4,9,0
2019,22,10.25615385,10.13384615,9.95,0.012942308,1.769230769,1,12485.23077,0.769230769,Mario BURKE,1138.35625,3,9,0
2020,23,10.52,10.27,10.27,0,2,2,27452,0,Mario BURKE,1138.35625,2,9,0
2021,24,10.57,10.27,10.27,0,4,4,27452,0,Mario BURKE,1138.35625,1,9,0
2006,21,10.42666667,10.25333333,10.2,0.002233333,2,1,25007.66667,0.666666667,Mario FORSYTHE,1151.202683,3,9,0
2008,23,10.35,10.3,10.3,0,,,33876,1,Mario FORSYTHE,1151.202683,1,9,0
2009,24,10.31166667,10.22,10.16,0.0026,1.833333333,1,19795.33333,1,Mario FORSYTHE,1151.202683,4,9,0
2010,25,10.23142857,10.17428571,9.95,0.007825714,2.523809524,1,15324.71429,0.857142857,Mario FORSYTHE,1151.202683,3,9,0
2011,26,10.195,10.17,10.11,0.003885714,3.5,1,13718.25,1,Mario FORSYTHE,1151.202683,2,9,0
2012,27,10.25727273,10.20636364,10.07,0.004545455,3.636363636,1,18493,0.909090909,Mario FORSYTHE,1151.202683,1,9,0
2015,30,10.395,10.28,10.26,0.0008,2,1,29733,1,Mario FORSYTHE,1151.202683,2,9,0
2005,27,10.415,10.27,10.25,0.0008,1.5,1,27657,1,Mark FINDLAY,1137.753126,4,9,0
2006,28,10.41,10.275,10.26,0.00045,2,1,28567,1,Mark FINDLAY,1137.753126,3,9,0
2007,29,10.425,10.25,10.24,0.0002,3,2,23835.5,0.5,Mark FINDLAY,1137.753126,2,9,0
2008,30,10.37,10.3,10.3,0,3,3,33876,1,Mark FINDLAY,1137.753126,1,9,0
2010,32,10.445,10.26,10.2,0.00148,1.5,1,26180.33333,0.666666667,Mark FINDLAY,1137.753126,3,9,0
2002,18,10.56,10.25,10.25,0,1,1,23770,0,Mark JELKS,1141.238585,3,9,0
2005,21,10.28333333,10.16166667,10.01,0.010124242,3.5,1,14588,0.75,Mark JELKS,1141.238585,4,9,0
2007,23,10.197,10.153,10.03,0.007178889,2.4,1,12813.1,0.9,Mark JELKS,1141.238585,2,9,0
2008,24,10.238,10.151,9.99,0.011876667,3.1,1,13889,0.9,Mark JELKS,1141.238585,1,9,0
2009,25,10.31363636,10.13636364,9.99,0.009325455,2.727272727,1,11892.90909,0.454545455,Mark JELKS,1141.238585,4,9,0
2010,26,10.365,10.06,9.99,0.0098,1.5,1,5151.5,0,Mark JELKS,1141.238585,3,9,0
2013,29,10.31,10.28,10.28,0,4,4,29380,1,Mark JELKS,1141.238585,4,9,0
2014,30,10.22533333,10.17266667,10.05,0.005092381,1.866666667,1,14450.2,0.866666667,Mark JELKS,1141.238585,3,9,0
2015,31,10.5,10.08,9.96,0.0288,4.5,4,8564,0,Mark JELKS,1141.238585,2,9,0
1999,17,10.54,10.26,10.26,0,1,1,25590,0,Mark LEWIS-FRANCIS,1137.753126,2,9,0
2000,18,10.307,10.22,10.1,0.005555556,1.5,1,20918.7,0.8,Mark LEWIS-FRANCIS,1137.753126,1,9,0
2001,19,10.28142857,10.16285714,9.97,0.00652967,1.928571429,1,13633.64286,0.714285714,Mark LEWIS-FRANCIS,1137.753126,4,9,0
2002,20,10.20933333,10.13266667,9.97,0.007592381,1.866666667,1,11079.33333,0.933333333,Mark LEWIS-FRANCIS,1137.753126,3,9,0
2003,21,10.2275,10.18083333,10.07,0.004008333,3,1,15001.83333,0.833333333,Mark LEWIS-FRANCIS,1137.753126,2,9,0
2004,22,10.21,10.20166667,10.12,0.005016667,2.333333333,1,17948.33333,0.833333333,Mark LEWIS-FRANCIS,1137.753126,1,9,0
2005,23,10.34833333,10.21,10.1,0.00632,2,1,19569.5,0.666666667,Mark LEWIS-FRANCIS,1137.753126,4,9,0
2006,24,10.38125,10.22125,10.13,0.003726786,3,1,20446.5,0.875,Mark LEWIS-FRANCIS,1137.753126,3,9,0
2007,25,10.243,10.221,10.17,0.00121,3.5,1,19493.1,1,Mark LEWIS-FRANCIS,1137.753126,2,9,0
2010,28,10.28058824,10.21,10.12,0.002825,2.823529412,1,18554.23529,0.823529412,Mark LEWIS-FRANCIS,1137.753126,3,9,0
2011,29,10.33666667,10.25,10.19,0.00248,2.666666667,1,24723.5,0.833333333,Mark LEWIS-FRANCIS,1137.753126,2,9,0
2013,31,10.33666667,10.23,10.19,0.0028,2.666666667,1,21222,1,Mark LEWIS-FRANCIS,1137.753126,4,9,0
2017,24,10.21333333,10.18666667,10.14,0.002533333,1,1,15025.66667,1,Mark Otieno ODHIAMBO,1170.453704,5,9,0
2020,27,10.43,10.27,10.27,0,1,1,27452,1,Mark Otieno ODHIAMBO,1170.453704,2,9,0
2021,28,10.30545455,10.17636364,10.05,0.007085455,1.454545455,1,15516.72727,0.545454545,Mark Otieno ODHIAMBO,1170.453704,1,9,0
1987,24,10.28875,10.095,9.91,0.011057143,1.5,1,8421.5,0.625,Mark WITHERSPOON,1144.561396,2,9,0
1988,25,10.34,10.2,10.17,0.0019,3,2,16580.33333,0.666666667,Mark WITHERSPOON,1144.561396,1,9,0
1989,26,10.42,10.1125,10.07,0.001958333,2.75,1,7652.25,0.5,Mark WITHERSPOON,1144.561396,4,9,0
1990,27,10.22333333,10.16066667,10.05,0.004020952,2.071428571,1,12705.53333,0.933333333,Mark WITHERSPOON,1144.561396,3,9,0
1991,28,10.286,10.184,10.09,0.00578,3.4,1,15763.6,0.8,Mark WITHERSPOON,1144.561396,2,9,0
1992,29,10.16111111,10.14888889,10.04,0.005386111,2,1,11851.77778,0.777777778,Mark WITHERSPOON,1144.561396,1,9,0
1994,31,10.31,10.215,10.19,0.00125,4.5,4,18391.5,1,Mark WITHERSPOON,1144.561396,3,9,0
1996,33,10.59,10.29,10.29,0,5,5,31544,0,Mark WITHERSPOON,1144.561396,1,9,0
2013,20,10.455,10.19833333,10.11,0.006256667,2.5,1,17928.16667,0.166666667,Markesh WOODSON,1144.561396,4,9,0
2015,22,10.31,10.21555556,10.14,0.002427778,3.666666667,1,19118.55556,0.666666667,Markesh WOODSON,1144.561396,2,9,0
2016,23,10.335,10.155,10.05,0.00387,2.666666667,1,11897.66667,0.833333333,Markesh WOODSON,1144.561396,1,9,0
2017,24,10.375,10.185,10.11,0.01125,4.5,2,16303.5,0.5,Markesh WOODSON,1144.561396,5,9,0
2016,21,10.52,10.3,10.3,0,1,1,33876,0,Markus FUCHS,1125.944444,1,9,0
2019,24,10.41,10.3,10.3,0,1,1,33876,1,Markus FUCHS,1125.944444,3,9,0
2021,26,10.56,10.27,10.27,0,3,3,27452,0,Markus FUCHS,1125.944444,1,9,0
1997,21,10.37,10.24,10.22,0.0008,4,4,22249.5,1,Marlon DEVONISH,1137.753126,4,9,0
1998,22,10.22333333,10.2275,10.13,0.002238636,3.571428571,1,20894.5,0.916666667,Marlon DEVONISH,1137.753126,3,9,0
1999,23,10.3625,10.2475,10.17,0.002758333,4.666666667,1,24199,1,Marlon DEVONISH,1137.753126,2,9,0
2000,24,10.38,10.27,10.27,0,1,1,27452,1,Marlon DEVONISH,1137.753126,1,9,0
2001,25,10.455,10.295,10.29,5.00E-05,2.5,2,32710,0.5,Marlon DEVONISH,1137.753126,4,9,0
2002,26,10.51,10.3,10.3,0,3,3,33876,0,Marlon DEVONISH,1137.753126,3,9,0
2004,28,10.5,10.28,10.28,0,2,2,29380,0,Marlon DEVONISH,1137.753126,1,9,0
2005,29,10.29166667,10.2275,10.13,0.002547727,2.25,1,21015,0.916666667,Marlon DEVONISH,1137.753126,4,9,0
2006,30,10.352,10.225,10.16,0.00245,3.6,1,20614.6,0.8,Marlon DEVONISH,1137.753126,3,9,0
2007,31,10.153125,10.164375,10.06,0.003759583,2.4375,1,13077.0625,1,Marlon DEVONISH,1137.753126,2,9,0
2008,32,10.345,10.2,10.08,0.008266667,4.75,2,18410.25,0.75,Marlon DEVONISH,1137.753126,1,9,0
2009,33,10.285,10.21,10.11,0.002542857,3.375,1,18308.125,1,Marlon DEVONISH,1137.753126,4,9,0
2010,34,10.27428571,10.23,10.18,0.001833333,3.142857143,1,21086.14286,0.857142857,Marlon DEVONISH,1137.753126,3,9,0
2011,35,10.3,10.24,10.14,0.002555556,3.7,1,23027.3,0.9,Marlon DEVONISH,1137.753126,2,9,0
2016,23,10.375,10.195,10.19,5.00E-05,3,1,15364.5,1,Marqueze WASHINGTON,1144.561396,1,9,0
2017,24,10.22166667,10.20833333,10.07,0.006896667,3.333333333,1,19394.83333,0.833333333,Marqueze WASHINGTON,1144.561396,5,9,0
2018,25,10.72,10.03,10.03,0,1,1,2845,0,Marqueze WASHINGTON,1144.561396,4,9,0
1999,19,10.4,10.19,10.19,0,1,1,14702,0,Marquis DAVIS,1144.561396,2,9,0
2000,20,10.345,10.1225,9.98,0.014091667,2.5,1,11136.25,0.5,Marquis DAVIS,1144.561396,1,9,0
2002,22,10.5,10.29,10.29,0,1,1,31544,0,Marquis DAVIS,1144.561396,3,9,0
2003,23,10.39571429,10.16142857,10.1,0.003714286,1.285714286,1,12687.42857,0.428571429,Marquis DAVIS,1144.561396,2,9,0
2006,26,10.37,10.19,10,0.0117,1.6,1,17861,0.6,Marquis DAVIS,1144.561396,3,9,0
