Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
2016,32,10.37444444,10.19555556,10.03,0.008377778,1.777777778,1,18258.11111,0.666666667,Adrian GRIFFITH,1131.111437,1,9,0
2007,20,10.5,10.2,10.2,0,1,1,16027,0,Ahmad RASHAD,1144.561396,2,9,0
2008,21,10.29,10.26,10.26,0,1,1,25590,1,Ahmad RASHAD,1144.561396,1,9,0
2009,22,10.37,10.18111111,10.1,0.004211111,2.444444444,1,15128,0.555555556,Ahmad RASHAD,1144.561396,4,9,0
2010,23,10.2625,10.2075,10.08,0.008891667,1,1,19704.75,0.75,Ahmad RASHAD,1144.561396,3,9,0
2011,24,10.26,10.21,10.21,0,1,1,17420,1,Ahmad RASHAD,1144.561396,2,9,0
2013,26,10.37666667,10.26666667,10.23,0.001033333,1.333333333,1,27134.66667,1,Ahmad RASHAD,1144.561396,4,9,0
2004,23,10.38,10.25,10.21,0.0032,1.5,1,24482,1,Ainsley WAUGH,1151.202683,1,9,0
2005,24,10.38111111,10.23222222,10.16,0.001494444,2.222222222,1,21349.11111,0.666666667,Ainsley WAUGH,1151.202683,4,9,0
2006,25,10.23142857,10.21428571,10.15,0.002095238,2.142857143,1,18793.14286,1,Ainsley WAUGH,1151.202683,3,9,0
2007,26,10.395,10.28,10.28,0,4.5,2,29380,1,Ainsley WAUGH,1151.202683,2,9,0
2008,27,10.34333333,10.19,10.14,0.0075,5,2,16828.66667,0.666666667,Ainsley WAUGH,1151.202683,1,9,0
2009,28,10.27666667,10.22666667,10.16,0.002546667,2.333333333,1,20853,0.833333333,Ainsley WAUGH,1151.202683,4,9,0
2010,29,10.33555556,10.25666667,10.14,0.002475,2.777777778,1,25906.88889,0.888888889,Ainsley WAUGH,1151.202683,3,9,0
2011,30,10.26923077,10.21615385,10.11,0.001942308,3.384615385,1,19036.92308,0.923076923,Ainsley WAUGH,1151.202683,2,9,0
2012,31,10.37428571,10.27857143,10.25,0.000247619,3.142857143,1,29254.57143,0.857142857,Ainsley WAUGH,1151.202683,1,9,0
2013,32,10.38,10.24,10.24,0,4,4,22081,1,Ainsley WAUGH,1151.202683,4,9,0
2012,19,10.32,10.19,10.19,0,1,1,14702,1,Akani SIMBINE,1140.91766,1,9,0
2013,20,10.73,10.24,10.24,0,2,2,22081,0,Akani SIMBINE,1140.91766,4,5,1
2014,21,10.26,10.20571429,10.02,0.005687912,2.071428571,1,18786.21429,1,Akani SIMBINE,1140.91766,3,5,1
2015,22,10.13954545,10.13818182,9.97,0.00965368,2.045454545,1,12187.27273,0.863636364,Akani SIMBINE,1140.91766,2,5,1
2016,23,10.15473684,10.09052632,9.89,0.015516374,2.105263158,1,9683.789474,0.894736842,Akani SIMBINE,1140.91766,1,5,1
2017,24,10.04375,10.018125,9.92,0.006402917,2.1875,1,3652.875,1,Akani SIMBINE,1140.91766,5,4,1
2018,25,10.0835,10.062,9.93,0.006448421,2.45,1,5540.85,0.95,Akani SIMBINE,1140.91766,4,4,1
2019,26,10.061875,10.03625,9.92,0.006398333,2.5625,1,4210.8125,1,Akani SIMBINE,1140.91766,3,4,1
2020,27,10.06285714,10.04142857,9.91,0.010680952,1,1,5197.285714,1,Akani SIMBINE,1140.91766,2,4,1
2021,28,10.02823529,10.02529412,9.82,0.013688971,2.294117647,1,4947.823529,0.705882353,Akani SIMBINE,1140.91766,1,4,1
2018,20,10.66,10.22,10.22,0,1,1,18909,0,Akanni HISLOP,1147.236581,4,9,0
2019,21,10.45666667,10.26,10.19,0.00176,4.833333333,2,26239,0.5,Akanni HISLOP,1147.236581,3,9,0
2021,23,10.48,10.23,10.19,0.0032,4,2,21077,0.5,Akanni HISLOP,1147.236581,1,9,0
2011,19,10.89,10.3,10.3,0,3,3,33876,0,Akeem HAYNES,1140.106017,2,9,0
2012,20,10.38666667,10.25166667,10.18,0.001816667,2.5,1,24747.16667,0.833333333,Akeem HAYNES,1140.106017,1,9,0
2013,21,10.49,10.3,10.3,0,3,3,33876,1,Akeem HAYNES,1140.106017,4,9,0
2014,22,10.38,10.235,10.2,0.00245,2,2,21739.5,0.5,Akeem HAYNES,1140.106017,3,9,0
2015,23,10.31666667,10.19555556,10.06,0.004502778,2.444444444,1,16989.22222,0.777777778,Akeem HAYNES,1140.106017,2,9,0
2016,24,10.33222222,10.21777778,10.15,0.002244444,3.444444444,1,19425.11111,0.777777778,Akeem HAYNES,1140.106017,1,9,0
2017,25,10.33666667,10.26333333,10.23,0.000933333,2.666666667,1,26492,1,Akeem HAYNES,1140.106017,5,9,0
2019,24,10.33,10.255,10.25,5.00E-05,1,1,24680,1,Akihiro HIGASHIDA,1127.759152,3,9,0
2020,25,10.295,10.255,10.21,0.00405,2,1,25648,1,Akihiro HIGASHIDA,1127.759152,2,9,0
2021,26,10.36,10.19,10.18,0.0003,2.666666667,1,14823.33333,1,Akihiro HIGASHIDA,1127.759152,1,9,0
1998,21,10.51,10.21,10.21,0,,,17420,0,Akihiro YASUI,1127.759152,3,9,0
1999,22,10.5475,10.2775,10.27,2.50E-05,3.333333333,1,28898,0.5,Akihiro YASUI,1127.759152,2,9,0
2000,23,10.494,10.25,10.2,0.00175,2.25,1,24364.6,0.6,Akihiro YASUI,1127.759152,1,9,0
2003,26,10.69,10.26,10.26,0,1,1,25590,0,Akihiro YASUI,1127.759152,2,9,0
2018,17,10.435,10.265,10.24,0.00125,1.5,1,26812.5,0.5,Alaba Olukunle AKINTOLA,1141.238585,4,9,0
2021,20,10.325,10.2575,10.16,0.004291667,2.75,1,26546.5,0.75,Alaba Olukunle AKINTOLA,1141.238585,1,9,0
2012,20,10.35,10.2,10.2,0,1,1,16027,1,Aldemir JUNIOR,1129.376263,1,9,0
2013,21,10.36,10.29,10.29,0,3,3,31544,1,Aldemir JUNIOR,1129.376263,4,9,0
2014,22,10.28,10.28,10.28,0,1,1,29380,1,Aldemir JUNIOR,1129.376263,3,9,0
2017,25,10.405,10.29,10.29,0,2.5,1,31544,1,Aldemir JUNIOR,1129.376263,5,9,0
2018,26,10.30333333,10.26666667,10.24,0.000533333,4,2,26947,1,Aldemir JUNIOR,1129.376263,4,9,0
2019,27,10.44333333,10.19166667,10.13,0.002696667,2.166666667,1,15874.33333,0.333333333,Aldemir JUNIOR,1129.376263,3,9,0
2020,28,10.505,10.235,10.18,0.00605,3.5,3,22534.5,0,Aldemir JUNIOR,1129.376263,2,9,0
