F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,L1,L2
0.00022311,0.000252334,0.000225684,0.000227235,0.0,0.000319642,0.000195295,0.000276423,0.000442556,0.000221598,0.000304295,9,0
0.000226067,0.000252334,0.000225023,0.000224353,0.000288026,0.000319642,0.000332001,0.000239685,0.000177022,0.000224849,0.000182577,9,0
0.000229198,0.000225298,0.000224252,0.000225683,2.77e-06,0.000159821,9.76e-05,0.000164127,0.000265534,0.000224483,0.0,9,0
0.000223037,0.000225298,0.000224363,0.000223244,0.000603748,0.000159821,0.000162746,0.000202645,8.85e-05,0.000227038,0.000304295,2,1
0.000223472,0.000243322,0.000223824,0.000223466,0.000242484,0.000159821,0.000282092,0.000154946,0.000177022,0.000222733,0.000270485,9,0
0.000225719,0.000252334,0.000225904,0.000227013,4.43e-05,0.000159821,0.000244118,0.000299222,0.000354045,0.000222056,0.000152148,9,0
0.000227676,0.000180239,0.000225023,0.000225683,0.000177247,0.000479463,0.000292942,0.000227436,8.85e-05,0.000225728,0.000152148,9,0
0.000227133,0.000288382,0.000225904,0.000226126,8.2e-05,0.000159821,0.000146471,0.000304453,0.000265534,0.000224385,0.000202863,9,0
0.00022224,0.000189251,0.000224142,0.000225018,9.97e-05,0.000159821,9.76e-05,0.000161656,8.85e-05,0.000221549,0.000304295,9,0
0.000218476,0.000225298,0.000220552,0.000216815,0.001061991,0.000159821,0.000150227,6.05e-05,0.000265534,0.000227038,0.000234073,9,0
0.000228981,0.000270358,0.000226344,0.0002279,0.0,0.000479463,0.000292942,0.000341662,8.85e-05,0.000225728,0.0,9,0
0.000224523,0.000243322,0.000226454,0.000227678,2.49e-05,0.000159821,0.000195295,0.000356594,8.85e-05,0.000223077,0.000304295,9,0
0.000222437,0.000261346,0.000223402,0.000220141,0.000385814,0.000159821,0.000257434,0.000136679,8.85e-05,0.000224385,0.000248969,9,0
0.000225864,0.00032443,0.000225684,0.000225018,0.000415423,0.000639284,0.000455688,0.000302876,8.85e-05,0.000227038,0.000202863,9,0
0.000223762,0.000243322,0.000226234,0.000227235,6.92e-05,0.000319642,0.000292942,0.000335185,8.85e-05,0.000225073,0.000304295,9,0
0.000224849,0.000225298,0.000224583,0.000225461,0.00010524,0.000319642,0.000292942,0.000192814,8.85e-05,0.000225728,0.000202863,9,0
0.000217758,0.000243322,0.000220208,0.000217702,0.000837545,0.000159821,0.00019954,5.23e-05,0.000354045,0.000227038,0.000277835,7,1
0.000220663,0.000315418,0.000222392,0.000221028,0.000309876,0.000159821,0.000180648,9.12e-05,0.000177022,0.000224385,0.000273866,9,0
0.000233221,0.000207274,0.000224142,0.00022391,0.000708988,0.000159821,9.76e-05,0.00018574,0.000354045,0.000224385,0.0,9,0
