Competitor,Rank,Mark,WIND,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
1,1489,9.98,0,1179.629411764706,1sf1,55,22-Jun-18,1213,9.98,30,24,1.0,2018
1,17420,10.21,-0.5,1179.629411764706,4sf3,9,28-Jul-14,1138,10.16,30,20,4.0,2014
1,27452,10.27,1.4,1179.629411764706,1f3,56,22-Feb-14,1115,10.41,30,20,1.0,2014
1,17420,10.21,1.8,1179.629411764706,3h1,57,5-Sep-15,1135,10.39,30,21,3.0,2015
1,23770,10.25,-0.1,1179.629411764706,1h1,52,15-Apr-16,1122,10.24,30,22,1.0,2016
1,1489,9.98,1.1,1179.629411764706,1h3,56,18-Mar-17,1213,10.09,30,23,1.0,2017
1,23770,10.25,2.1,1179.629411764706,2sf3,58,22-Jun-16,1110,10.46,30,22,2.0,2016
1,17420,10.21,-1.8,1179.629411764706,1,56,25-Apr-14,1145,10.03,30,20,1.0,2014
1,1489,9.98,0.2,1179.629411764706,3sf1,50,14-Aug-16,1213,10,30,22,3.0,2016
1,3690,10.05,-0.8,1179.629411764706,1f1,56,8-Mar-18,1193,9.97,30,24,1.0,2018
1,27452,10.27,0,1179.629411764706,2,59,21-Mar-14,1115,10.27,30,20,2.0,2014
1,8587,10.13,-1.2,1179.629411764706,1,56,21-Mar-15,1169,10.01,30,21,1.0,2015
1,17420,10.21,0.1,1179.629411764706,2,60,4-Jun-17,1135,10.22,30,23,2.0,2017
1,6354,10.1,-0.4,1179.629411764706,5,21,9-Sep-21,1174,10.06,30,27,5.0,2021
1,22081,10.24,1.3,1179.629411764706,4,61,27-Jun-14,1125,10.37,30,20,4.0,2014
1,4606,10.07,0.1,1179.629411764706,1h2,62,18-Apr-24,1182,10.08,30,30,1.0,2024
1,4606,10.07,0.3,1179.629411764706,1f1,63,13-Jun-23,1182,10.1,30,29,1.0,2023
1,4606,10.07,-0.3,1179.629411764706,4,21,8-Sep-22,1183,10.04,30,28,4.0,2022
1,4606,10.07,-0.2,1179.629411764706,1sf1,0,3-Aug-22,1183,10.05,30,28,1.0,2022
1,9471,10.14,-0.2,1179.629411764706,1,64,30-Mar-23,1160,10.12,30,29,1.0,2023
1,4606,10.07,1.1,1179.629411764706,4h5,5,15-Jul-22,1182,10.18,30,28,4.0,2022
1,9471,10.14,0.6,1179.629411764706,1h5,65,8-Jun-22,1159,10.2,30,28,1.0,2022
1,6354,10.1,0.1,1179.629411764706,1h2,0,2-Aug-22,1172,10.11,30,28,1.0,2022
1,3236,10.04,0.3,1179.629411764706,4,66,12-Jul-19,1193,10.07,30,25,4.0,2019
1,439,9.9,0.9,1179.629411764706,4sf3,67,1-Aug-21,1241,9.99,30,27,4.0,2021
1,519,9.91,1.7,1179.629411764706,1h3,68,14-Mar-20,1238,10.08,30,26,1.0,2020
1,4606,10.07,0.1,1179.629411764706,1h1,0,18-Aug-18,1182,10.08,30,24,1.0,2018
1,9471,10.14,-1.3,1179.629411764706,1h8,50,13-Aug-16,1166,10.01,30,22,1.0,2016
1,1101,9.96,0.3,1179.629411764706,1,69,17-Sep-20,1220,9.99,30,26,1.0,2020
1,27452,10.27,-1.4,1179.629411764706,1sf1,62,18-Apr-24,1123,10.13,30,30,1.0,2024
1,8587,10.13,-0.1,1179.629411764706,3,70,4-Sep-23,1162,10.12,30,29,3.0,2023
1,22081,10.24,-6.3,1179.629411764706,1sf1,68,27-Mar-21,1162,9.61,30,27,1.0,2021
1,27452,10.27,2,1179.629411764706,1h2,58,22-Jun-16,1115,10.47,30,22,1.0,2016
1,31544,10.29,-0.3,1179.629411764706,2f3,71,1-Jul-14,1109,10.26,30,20,2.0,2014
1,8587,10.13,-0.9,1179.629411764706,2,0,3-Aug-22,1167,10.04,30,28,2.0,2022
1,8587,10.13,NWI,1179.629411764706,1h1,68,27-Mar-21,1132,#VALUE!,30,27,1.0,2021
1,7017,10.11,1.8,1179.629411764706,1sf3,56,11-Apr-14,1169,10.29,30,20,1.0,2014
1,22081,10.24,4.9,1179.629411764706,2,58,27-Apr-13,1096,10.73,30,19,2.0,2013
